Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
TS047_RoL_RNA_322_1	(1.0, 15.708147307020331)	(2.0, 9.523082399918358)	(3.0, 7.101799400627851)	(4.0, 5.31829658182599)	(5.0, 4.100267331435733)	(6.0, 3.1500945821589106)	(7.0, 2.5210708700075926)	(8.0, 2.1103154957392873)	(9.0, 1.7029621452930594)	('>10', 20.223371997132443)	('>50', 6.960852563636445)	('>100', 14.294126777615151)	('>500', 3.993070982471615)	('>1k', 3.2044735119890726)	('>5k', 0.08806805312796587)	('>10k+', 0.0)
TS047_RoL_RNA_322_2	(1.0, 16.118322178002266)	(2.0, 8.973564016783232)	(3.0, 6.710775375159317)	(4.0, 5.051325051063422)	(5.0, 3.9619710996719126)	(6.0, 3.015558379378335)	(7.0, 2.46977143397876)	(8.0, 2.0473411957697416)	(9.0, 1.7150663490715257)	('>10', 20.532446565942745)	('>50', 7.151434554104489)	('>100', 14.698108950189656)	('>500', 4.108284794505898)	('>1k', 3.0464179567549263)	('>5k', 0.2627077091825358)	('>10k+', 0.13690439044109848)
TS047_RoL_RNA_326_1	(1.0, 17.50319164608259)	(2.0, 10.508175968698854)	(3.0, 7.813408414942281)	(4.0, 5.652352651801589)	(5.0, 4.258962297780187)	(6.0, 3.1735973271560516)	(7.0, 2.5102103743568733)	(8.0, 2.0947784331228583)	(9.0, 1.737474817052248)	('>10', 19.33901193277645)	('>50', 6.542005386486608)	('>100', 12.871474448500852)	('>500', 3.285576230683831)	('>1k', 2.7097800705588417)	('>5k', 0.0)	('>10k+', 0.0)
TS047_RoL_RNA_326_2	(1.0, 17.878500553194616)	(2.0, 10.02107009846027)	(3.0, 7.34457377113909)	(4.0, 5.369227838012773)	(5.0, 4.162193608685935)	(6.0, 3.111175945740423)	(7.0, 2.448511411013303)	(8.0, 2.0286873210147762)	(9.0, 1.720504200259379)	('>10', 19.55432873956475)	('>50', 6.8055794085351256)	('>100', 13.077319331319806)	('>500', 3.7334989565294956)	('>1k', 2.385748850597825)	('>5k', 0.2666722851561728)	('>10k+', 0.09240768077626435)
TS047_RoL_RNA_328_1	(1.0, 16.920807063492834)	(2.0, 10.194900799983559)	(3.0, 7.3824135186270565)	(4.0, 5.4182525980526774)	(5.0, 3.971921030552175)	(6.0, 3.082831380139116)	(7.0, 2.425112022452838)	(8.0, 1.9072529873110529)	(9.0, 1.7038154064727515)	('>10', 18.22199236293733)	('>50', 6.068753422889022)	('>100', 12.765297148183679)	('>500', 4.447368086861942)	('>1k', 5.169966810332085)	('>5k', 0.2623844057685928)	('>10k+', 0.056930955943311184)
TS047_RoL_RNA_328_2	(1.0, 17.384419467501985)	(2.0, 9.687194489151082)	(3.0, 6.967508954312919)	(4.0, 5.160442148676326)	(5.0, 3.895028629031885)	(6.0, 3.011602327628334)	(7.0, 2.419297244397852)	(8.0, 1.9205699700845715)	(9.0, 1.6060637764597794)	('>10', 18.228798115582467)	('>50', 6.156937242021309)	('>100', 12.90775757359529)	('>500', 4.927162448102452)	('>1k', 4.93488550462576)	('>5k', 0.43594727690138635)	('>10k+', 0.3563848319263941)
TS047_RoL_RNA_347_1	(1.0, 17.63610362759692)	(2.0, 10.775251196688789)	(3.0, 7.517709350784152)	(4.0, 5.515093404999219)	(5.0, 3.975895542621212)	(6.0, 3.032608451578961)	(7.0, 2.442624337373504)	(8.0, 1.8661261890618497)	(9.0, 1.6616743917350796)	('>10', 18.60016340760244)	('>50', 6.921570906253526)	('>100', 14.001486833721454)	('>500', 3.656356667573226)	('>1k', 2.3973356924097082)	('>5k', 0.0)	('>10k+', 0.0)
TS047_RoL_RNA_347_2	(1.0, 18.128557585216807)	(2.0, 9.962081990986157)	(3.0, 6.9497313533260145)	(4.0, 5.246879509698137)	(5.0, 3.8167095484923466)	(6.0, 2.9335804780084875)	(7.0, 2.45427163786952)	(8.0, 1.9054566532312756)	(9.0, 1.5426015552585008)	('>10', 18.75069777521575)	('>50', 7.088879584583569)	('>100', 14.350851421776465)	('>500', 4.0344580172823825)	('>1k', 2.4225553171128333)	('>5k', 0.245613677579179)	('>10k+', 0.16707389436254272)
TS047_RoL_RNA_355_1	(1.0, 16.83220775315294)	(2.0, 9.878114997686838)	(3.0, 7.1060724809248175)	(4.0, 4.947140459810637)	(5.0, 3.6515628169852605)	(6.0, 2.731331355508545)	(7.0, 2.0396598325244937)	(8.0, 1.623317450831287)	(9.0, 1.300387840444216)	('>10', 14.31686076654991)	('>50', 5.555473228804993)	('>100', 13.754325513173757)	('>500', 5.2837883045341085)	('>1k', 9.367284755082874)	('>5k', 1.5252945035447372)	('>10k+', 0.0871779404406356)
TS047_RoL_RNA_355_2	(1.0, 16.91770481833734)	(2.0, 9.363193528450903)	(3.0, 6.716364220446468)	(4.0, 4.797493831018494)	(5.0, 3.526541223431825)	(6.0, 2.5910109755287967)	(7.0, 2.016856310647841)	(8.0, 1.6213666627296532)	(9.0, 1.2796713322351168)	('>10', 14.151494804870504)	('>50', 5.64061519855713)	('>100', 14.1428669239301)	('>500', 5.801470305154727)	('>1k', 10.207865111797378)	('>5k', 1.056332929714989)	('>10k+', 0.16915182314878632)
TS047_RoL_RNA_377_1	(1.0, 13.816344930489603)	(2.0, 8.061286389728188)	(3.0, 5.796974984902307)	(4.0, 4.2911876071486565)	(5.0, 3.256837512212628)	(6.0, 2.507252541853503)	(7.0, 2.0197977089775923)	(8.0, 1.62160982260477)	(9.0, 1.2752743414715089)	('>10', 17.313114428425756)	('>50', 6.93766261667429)	('>100', 17.701216925638136)	('>500', 7.219056240877314)	('>1k', 7.877162135499416)	('>5k', 0.2248750534066942)	('>10k+', 0.08034676008953394)
TS047_RoL_RNA_377_2	(1.0, 14.128573386929762)	(2.0, 7.348603132780631)	(3.0, 5.388254639030617)	(4.0, 3.9383228230883955)	(5.0, 3.081017656948056)	(6.0, 2.373852639968544)	(7.0, 1.894394717564438)	(8.0, 1.5850141679931267)	(9.0, 1.3552610234226725)	('>10', 16.734833405165737)	('>50', 6.984045728844192)	('>100', 18.644172699070985)	('>500', 7.685389322504256)	('>1k', 7.607800503982781)	('>5k', 0.5718741928369112)	('>10k+', 0.678589959868797)
TS047_RoL_RNA_381_1	(1.0, 15.733962519383821)	(2.0, 9.52159519433227)	(3.0, 6.774352327217091)	(4.0, 5.103253720480551)	(5.0, 3.6930847666554243)	(6.0, 2.9333637340227465)	(7.0, 2.197661966898788)	(8.0, 1.772059696681083)	(9.0, 1.5382230057022475)	('>10', 17.603635384516863)	('>50', 6.628524194916434)	('>100', 14.779310115715836)	('>500', 5.302918769668476)	('>1k', 6.0806047975699125)	('>5k', 0.33744980623835613)	('>10k+', 0.0)
TS047_RoL_RNA_381_2	(1.0, 16.449885035178582)	(2.0, 8.97729828295516)	(3.0, 6.506387177050652)	(4.0, 4.76360369429679)	(5.0, 3.5446863651902216)	(6.0, 2.7704303387162286)	(7.0, 2.1293797458920367)	(8.0, 1.7273763053963949)	(9.0, 1.4576171526878374)	('>10', 17.399924986805566)	('>50', 6.640675656769076)	('>100', 15.299993392458724)	('>500', 5.789490059170815)	('>1k', 6.014227015193888)	('>5k', 0.24956384233150972)	('>10k+', 0.2794609499065434)
TS047_RoL_RNA_407_1	(1.0, 9.685157490578446)	(2.0, 5.455813182872361)	(3.0, 4.001421955591759)	(4.0, 2.832338048523212)	(5.0, 2.1739523326975734)	(6.0, 1.6413048163830153)	(7.0, 1.3643946102246092)	(8.0, 1.0970331153085549)	(9.0, 0.9817899542300159)	('>10', 12.662931857562942)	('>50', 6.215247062023793)	('>100', 18.74995351039626)	('>500', 9.578031397699153)	('>1k', 17.505822323964775)	('>5k', 4.447870291696241)	('>10k+', 1.606938050247201)
TS047_RoL_RNA_407_2	(1.0, 9.914520365186453)	(2.0, 4.924652692770672)	(3.0, 3.566999225954035)	(4.0, 2.599756788474415)	(5.0, 1.9790676132795237)	(6.0, 1.4957052437081693)	(7.0, 1.2002255783002418)	(8.0, 1.0243120010818876)	(9.0, 0.8747648499133863)	('>10', 11.720846861281675)	('>50', 5.85136331198277)	('>100', 19.684609686500863)	('>500', 10.975161983766036)	('>1k', 19.604410536617404)	('>5k', 3.199676298062472)	('>10k+', 1.3839269631199118)
TS047_RoL_RNA_412_1	(1.0, 14.297140698999645)	(2.0, 8.393690016114624)	(3.0, 6.16925014511402)	(4.0, 4.5549478603836935)	(5.0, 3.4835336124764957)	(6.0, 2.7069958131158973)	(7.0, 2.2021419372598534)	(8.0, 1.8359929021668355)	(9.0, 1.5608242293210084)	('>10', 19.39039597515769)	('>50', 7.406244029471076)	('>100', 16.730282422600297)	('>500', 5.941878802789351)	('>1k', 5.191087620042562)	('>5k', 0.1355939349869851)	('>10k+', 0.0)
TS047_RoL_RNA_412_2	(1.0, 14.812084977881025)	(2.0, 7.80377899261916)	(3.0, 5.796677066656255)	(4.0, 4.316321355933705)	(5.0, 3.33374689955829)	(6.0, 2.6855949606811067)	(7.0, 2.057396717010464)	(8.0, 1.8277125171107145)	(9.0, 1.5034382221040694)	('>10', 19.314679262012408)	('>50', 7.496204163039172)	('>100', 17.241108273742753)	('>500', 6.273430453021038)	('>1k', 5.041941868415891)	('>5k', 0.25275158039758805)	('>10k+', 0.243132689816361)
TS047_RoL_RNA_439_1	(1.0, 15.59647714361574)	(2.0, 9.521197209537684)	(3.0, 7.044301053800051)	(4.0, 4.995419601967059)	(5.0, 3.7070950779518643)	(6.0, 2.923102772252459)	(7.0, 2.2579202457733794)	(8.0, 1.8582115634478573)	(9.0, 1.4700258071528673)	('>10', 17.8088707728494)	('>50', 7.031850471512828)	('>100', 15.60102651250859)	('>500', 4.906840282602642)	('>1k', 5.141301143977077)	('>5k', 0.1363603410506059)	('>10k+', 0.0)
TS047_RoL_RNA_439_2	(1.0, 16.049321241394647)	(2.0, 8.963617236435152)	(3.0, 6.5192140938987135)	(4.0, 4.724586769758707)	(5.0, 3.5309526531247846)	(6.0, 2.7845047756891583)	(7.0, 2.1302237732600315)	(8.0, 1.738853805911832)	(9.0, 1.4967878088248165)	('>10', 17.97467065760941)	('>50', 7.276033853587241)	('>100', 16.087974403710724)	('>500', 5.532590690956351)	('>1k', 4.75862083203051)	('>5k', 0.2504924209770916)	('>10k+', 0.1815549828307573)
TS047_RoL_RNA_442_1	(1.0, 15.49487409632509)	(2.0, 9.300114552899236)	(3.0, 6.843409630002989)	(4.0, 4.96323496222603)	(5.0, 3.8469223565981046)	(6.0, 3.0120924442066204)	(7.0, 2.3567226165149413)	(8.0, 1.9815489997617037)	(9.0, 1.6185802361232071)	('>10', 20.15089252696505)	('>50', 7.482795027752188)	('>100', 15.101428492275708)	('>500', 4.199801630808248)	('>1k', 3.647582427540853)	('>5k', 0.0)	('>10k+', 0.0)
TS047_RoL_RNA_442_2	(1.0, 16.291911939636556)	(2.0, 8.694771909623586)	(3.0, 6.36126955653175)	(4.0, 4.840762948873776)	(5.0, 3.6816828551667347)	(6.0, 2.874765391701823)	(7.0, 2.2676104105697155)	(8.0, 1.9282858925606148)	(9.0, 1.6047320358804116)	('>10', 20.135719380488737)	('>50', 7.568808151802392)	('>100', 15.323493696728956)	('>500', 4.555213816948072)	('>1k', 3.4960587151488816)	('>5k', 0.22227473482967472)	('>10k+', 0.15263856350830293)
TS047_RoL_RNA_468_1	(1.0, 16.529733349950046)	(2.0, 9.929646126820076)	(3.0, 7.198949792795719)	(4.0, 5.260830368760127)	(5.0, 3.9881568012033806)	(6.0, 3.091802893457821)	(7.0, 2.475216608293995)	(8.0, 2.0473544216327184)	(9.0, 1.6166116719693444)	('>10', 19.18096051847264)	('>50', 6.825146086091764)	('>100', 13.446190151295633)	('>500', 4.0531023920235585)	('>1k', 4.114780141912293)	('>5k', 0.24151867532096088)	('>10k+', 0.0)
TS047_RoL_RNA_468_2	(1.0, 17.071301359481442)	(2.0, 9.342806152740156)	(3.0, 6.765383655795879)	(4.0, 5.115709819128417)	(5.0, 3.9374711360611094)	(6.0, 3.0153207724436584)	(7.0, 2.4389746627580866)	(8.0, 2.0115741432720884)	(9.0, 1.5958084223551636)	('>10', 19.133723424923378)	('>50', 6.958074331490673)	('>100', 13.899929602698977)	('>500', 4.349282068138422)	('>1k', 3.8875178349591257)	('>5k', 0.2797625516510838)	('>10k+', 0.19736006210238854)
TS047_RoL_RNA_469_1	(1.0, 13.287466225445439)	(2.0, 8.004956977640378)	(3.0, 5.915226675371069)	(4.0, 4.534722976426922)	(5.0, 3.3527072579924773)	(6.0, 2.666896128034428)	(7.0, 2.0961831878431054)	(8.0, 1.6767817704351873)	(9.0, 1.471942951721731)	('>10', 17.826723917999836)	('>50', 6.922087995241961)	('>100', 17.489086096444225)	('>500', 6.676415485400467)	('>1k', 7.837684072748699)	('>5k', 0.1888162690254128)	('>10k+', 0.05230201222852853)
TS047_RoL_RNA_469_2	(1.0, 13.953647958227574)	(2.0, 7.429520370051473)	(3.0, 5.420256595934823)	(4.0, 4.088769682660132)	(5.0, 3.195152693011258)	(6.0, 2.5645043229574633)	(7.0, 2.058047446132151)	(8.0, 1.6885655113550169)	(9.0, 1.4133283911533097)	('>10', 17.475030428305175)	('>50', 7.02750126177461)	('>100', 18.22610465578682)	('>500', 7.649724582130432)	('>1k', 6.939676325537683)	('>5k', 0.48175628765517126)	('>10k+', 0.3884134873269318)
TS047_RoL_RNA_46_1	(1.0, 7.202707591968789)	(2.0, 4.225361476267063)	(3.0, 2.959707164522941)	(4.0, 2.121408413608788)	(5.0, 1.545612803570705)	(6.0, 1.2360882785868539)	(7.0, 0.9369995460494942)	(8.0, 0.7656454376654016)	(9.0, 0.6491650092259511)	('>10', 9.466126914397659)	('>50', 5.50286573760261)	('>100', 18.771443613344065)	('>500', 10.444806833911375)	('>1k', 23.564280605999155)	('>5k', 7.4156244275325145)	('>10k+', 3.192156145746658)
TS047_RoL_RNA_46_2	(1.0, 7.784463865573116)	(2.0, 3.849024935901163)	(3.0, 2.663685509267612)	(4.0, 1.9328082813259373)	(5.0, 1.3605199960435341)	(6.0, 1.1057635308100309)	(7.0, 0.8417463787851333)	(8.0, 0.685914831172329)	(9.0, 0.572512015995412)	('>10', 8.134912640001527)	('>50', 4.773491555665086)	('>100', 18.893626697069188)	('>500', 11.866035686625816)	('>1k', 26.56565739333644)	('>5k', 5.791296180902659)	('>10k+', 3.178540501525131)
TS047_RoL_RNA_477_1	(1.0, 18.561714266613784)	(2.0, 11.430403850265144)	(3.0, 8.073340688435287)	(4.0, 6.013136175589846)	(5.0, 4.398864858368025)	(6.0, 3.3452306228752002)	(7.0, 2.5916405872399033)	(8.0, 2.14538507377094)	(9.0, 1.666887695302982)	('>10', 17.95353927928182)	('>50', 6.022887086889504)	('>100', 11.783044514282759)	('>500', 3.1891840258834465)	('>1k', 2.824741275201461)	('>5k', 0.0)	('>10k+', 0.0)
TS047_RoL_RNA_477_2	(1.0, 18.973543322484794)	(2.0, 10.83980626108461)	(3.0, 7.8015511811274525)	(4.0, 5.888071046895356)	(5.0, 4.261054450517968)	(6.0, 3.3007106272800653)	(7.0, 2.5624387546401906)	(8.0, 2.11458014946855)	(9.0, 1.7011371731594518)	('>10', 17.8608069326283)	('>50', 6.144282172308979)	('>100', 11.98313662340484)	('>500', 3.5225611721699677)	('>1k', 2.6921083231106584)	('>5k', 0.2715475663501651)	('>10k+', 0.08266424336850262)
TS047_RoL_RNA_478_1	(1.0, 15.62445308368003)	(2.0, 9.644248455132837)	(3.0, 7.0752429586166246)	(4.0, 5.318513368162895)	(5.0, 4.106779853161966)	(6.0, 3.1097704977409886)	(7.0, 2.5597590258198206)	(8.0, 2.024123411080503)	(9.0, 1.6883297978411471)	('>10', 19.868607087422358)	('>50', 6.790479310899988)	('>100', 14.09141715524837)	('>500', 4.061038122227926)	('>1k', 4.00914996146326)	('>5k', 0.02808791150133186)	('>10k+', 0.0)
TS047_RoL_RNA_478_2	(1.0, 16.31905316957524)	(2.0, 8.92835162335517)	(3.0, 6.686088076603469)	(4.0, 5.079895139985345)	(5.0, 3.9231229705098443)	(6.0, 3.0849766371073684)	(7.0, 2.4854989859754753)	(8.0, 2.027537262754374)	(9.0, 1.6681179769358616)	('>10', 19.971063649493075)	('>50', 7.009601344501075)	('>100', 14.284798236165654)	('>500', 4.418358533034232)	('>1k', 3.6102322562735183)	('>5k', 0.35189857354619386)	('>10k+', 0.15140556418386583)
TS047_RoL_RNA_498_1	(1.0, 17.67623497010871)	(2.0, 10.342008583930024)	(3.0, 7.476186868465207)	(4.0, 5.31416025766671)	(5.0, 4.001601355870461)	(6.0, 3.0499797475131567)	(7.0, 2.4593264678641242)	(8.0, 1.8958854970684174)	(9.0, 1.5980984283667572)	('>10', 18.274983691740985)	('>50', 6.361540099302314)	('>100', 13.237544094520032)	('>500', 4.063880326906867)	('>1k', 4.1619881613185905)	('>5k', 0.08658144935750015)	('>10k+', 0.0)
TS047_RoL_RNA_498_2	(1.0, 18.010249673778063)	(2.0, 9.860701114460488)	(3.0, 7.0933518879541095)	(4.0, 5.221192082956646)	(5.0, 3.8554217756471907)	(6.0, 2.9194496457572665)	(7.0, 2.319529110921572)	(8.0, 1.8898952083527372)	(9.0, 1.5380128182136885)	('>10', 18.41542739549645)	('>50', 6.240027681551579)	('>100', 13.709047979619465)	('>500', 4.341953546704053)	('>1k', 4.116700461728944)	('>5k', 0.21453977252356882)	('>10k+', 0.25449984433413175)
TS047_RoL_RNA_500_1	(1.0, 15.646055814030312)	(2.0, 9.298136910704136)	(3.0, 6.68480617426838)	(4.0, 4.916284742277902)	(5.0, 3.7348243354315955)	(6.0, 2.8726972759178873)	(7.0, 2.2361778721118206)	(8.0, 1.841431444392806)	(9.0, 1.5760736796501358)	('>10', 18.387445510448135)	('>50', 6.534819464051471)	('>100', 14.264410982391231)	('>500', 4.858480282075763)	('>1k', 6.5763109029947415)	('>5k', 0.5163284847348081)	('>10k+', 0.055716124518830276)
TS047_RoL_RNA_500_2	(1.0, 16.39069304896731)	(2.0, 8.829849821767564)	(3.0, 6.352047238226987)	(4.0, 4.611021720457467)	(5.0, 3.597968426764634)	(6.0, 2.7651185227214903)	(7.0, 2.122392705986948)	(8.0, 1.8288353535328792)	(9.0, 1.5545793608561176)	('>10', 17.997459620108458)	('>50', 6.724198542025546)	('>100', 15.119728757477086)	('>500', 5.810182891019745)	('>1k', 5.814031375918117)	('>5k', 0.3948908656207507)	('>10k+', 0.08700174854879074)
TS047_RoL_RNA_502_1	(1.0, 18.45460417650994)	(2.0, 10.800228741551884)	(3.0, 7.740624040714765)	(4.0, 5.748165897274838)	(5.0, 4.134446023613944)	(6.0, 3.1837553216515775)	(7.0, 2.494642140383087)	(8.0, 2.020920285421023)	(9.0, 1.64648329005848)	('>10', 18.514020954416832)	('>50', 6.3683776700926735)	('>100', 11.998390651964788)	('>500', 3.2982642269461104)	('>1k', 3.5318764889105667)	('>5k', 0.06520009048942943)	('>10k+', 0.0)
TS047_RoL_RNA_502_2	(1.0, 18.835257227425682)	(2.0, 10.179789526791488)	(3.0, 7.306271330237761)	(4.0, 5.4677589077101265)	(5.0, 4.147505396712402)	(6.0, 3.1626710085542196)	(7.0, 2.476023742439454)	(8.0, 1.975034530805879)	(9.0, 1.6694768047864503)	('>10', 18.893725289543088)	('>50', 6.373571768680443)	('>100', 12.140970206962287)	('>500', 3.5986656117590656)	('>1k', 3.427147308772436)	('>5k', 0.2646191805306769)	('>10k+', 0.08151215828846745)
TS047_RoL_RNA_506_1	(1.0, 15.339292502544783)	(2.0, 8.958483433109594)	(3.0, 6.4372206360021655)	(4.0, 4.795994688809378)	(5.0, 3.505098549047107)	(6.0, 2.7693403350590065)	(7.0, 2.243733788245164)	(8.0, 1.8424573296744868)	(9.0, 1.5757185800305145)	('>10', 18.311472349596613)	('>50', 6.973576427637747)	('>100', 15.224192670388339)	('>500', 5.255969492260936)	('>1k', 6.297697792046761)	('>5k', 0.41343575850935216)	('>10k+', 0.05631566703822054)
TS047_RoL_RNA_506_2	(1.0, 16.112589217224322)	(2.0, 8.3755882559145)	(3.0, 6.17247947669036)	(4.0, 4.55687624193161)	(5.0, 3.453331305680067)	(6.0, 2.798284828927097)	(7.0, 2.172169474016034)	(8.0, 1.7936064858860543)	(9.0, 1.5477506238569996)	('>10', 18.097600802591156)	('>50', 6.998355975702557)	('>100', 15.792481658385116)	('>500', 5.997296754928807)	('>1k', 5.6265317877161465)	('>5k', 0.41001513265301515)	('>10k+', 0.09504197789612658)
TS047_RoL_RNA_51_1	(1.0, 17.173674833746958)	(2.0, 10.106120404595105)	(3.0, 7.1674955037206995)	(4.0, 5.008980358779081)	(5.0, 3.8383958520483104)	(6.0, 2.876072756043734)	(7.0, 2.204405586813928)	(8.0, 1.757932407867809)	(9.0, 1.4577293643416958)	('>10', 17.370168710344274)	('>50', 6.576415186862193)	('>100', 14.120235623992619)	('>500', 5.083894270787486)	('>1k', 5.070785662793644)	('>5k', 0.18769347726252253)	('>10k+', 0.0)
TS047_RoL_RNA_51_2	(1.0, 17.487649229039512)	(2.0, 9.658093284990686)	(3.0, 6.865989237958129)	(4.0, 4.749367356363628)	(5.0, 3.568997769839164)	(6.0, 2.7350106026848953)	(7.0, 2.180151375561002)	(8.0, 1.722924630347893)	(9.0, 1.4698282724473175)	('>10', 17.309861958116024)	('>50', 6.658764654999645)	('>100', 14.773960453971485)	('>500', 5.529406088746687)	('>1k', 4.709751270401366)	('>5k', 0.3975869527997159)	('>10k+', 0.18265686173294327)
TS047_RoL_RNA_526_1	(1.0, 12.18008454221782)	(2.0, 7.354721481788666)	(3.0, 5.496099391622815)	(4.0, 4.07547232619327)	(5.0, 3.1648356150253116)	(6.0, 2.474248701279709)	(7.0, 1.9573616604492825)	(8.0, 1.5139614438313649)	(9.0, 1.2790751573105013)	('>10', 14.869346695950322)	('>50', 5.707240310589028)	('>100', 14.430638148404118)	('>500', 6.6184915880648285)	('>1k', 12.46460119835956)	('>5k', 4.246117263701633)	('>10k+', 2.1677044752117203)
TS047_RoL_RNA_526_2	(1.0, 12.796573333654038)	(2.0, 6.903730133828077)	(3.0, 5.111200548746861)	(4.0, 3.8392164965500992)	(5.0, 2.957658308570763)	(6.0, 2.286233561249237)	(7.0, 1.8329482147669902)	(8.0, 1.4790686854141109)	(9.0, 1.2289116064478185)	('>10', 14.302740806417075)	('>50', 5.5708276813428945)	('>100', 14.766633627005863)	('>500', 7.1506737144749115)	('>1k', 15.091353282984818)	('>5k', 3.260292178607699)	('>10k+', 1.4219378199385817)
TS047_RoL_RNA_528_1	(1.0, 14.669814961615183)	(2.0, 8.877017824811983)	(3.0, 6.821060205052608)	(4.0, 5.077488920751293)	(5.0, 3.8926417310703245)	(6.0, 2.9589018532928004)	(7.0, 2.310401215770281)	(8.0, 1.9318207204878157)	(9.0, 1.6637180262401363)	('>10', 19.21617500557345)	('>50', 7.284993853158136)	('>100', 15.913442609921402)	('>500', 4.802846661966184)	('>1k', 4.466165044309291)	('>5k', 0.11351136597916586)	('>10k+', 0.0)
TS047_RoL_RNA_528_2	(1.0, 15.431879821481026)	(2.0, 8.285993274686062)	(3.0, 6.351302495438482)	(4.0, 4.777856922244046)	(5.0, 3.5537137107367114)	(6.0, 2.931450035643114)	(7.0, 2.346752557379427)	(8.0, 1.9040514648869986)	(9.0, 1.6163194061057051)	('>10', 19.061571308618465)	('>50', 7.530747376727402)	('>100', 16.418622228415956)	('>500', 5.163425682236191)	('>1k', 4.078037447550501)	('>5k', 0.31364685726546904)	('>10k+', 0.2346294105843629)
TS047_RoL_RNA_530_1	(1.0, 16.490460903771897)	(2.0, 9.930111101582716)	(3.0, 6.981855218135006)	(4.0, 4.993342294802347)	(5.0, 3.683185920748084)	(6.0, 2.8267590733303476)	(7.0, 2.234137940697068)	(8.0, 1.8037872312073797)	(9.0, 1.574056497675765)	('>10', 17.907132033905775)	('>50', 6.5731305685561265)	('>100', 15.054131080902211)	('>500', 4.785713482032619)	('>1k', 5.053881440678205)	('>5k', 0.10831521197441595)	('>10k+', 0.0)
TS047_RoL_RNA_530_2	(1.0, 16.890500027535506)	(2.0, 9.427977479977221)	(3.0, 6.7490755062945595)	(4.0, 4.960803226530676)	(5.0, 3.717380363689096)	(6.0, 2.79870223840786)	(7.0, 2.1950740937303634)	(8.0, 1.8453266572704032)	(9.0, 1.464017075198271)	('>10', 17.76869554125487)	('>50', 6.750446603791875)	('>100', 15.556983424426956)	('>500', 5.249204356520975)	('>1k', 4.272040212972265)	('>5k', 0.270136533233105)	('>10k+', 0.08363665916608315)
TS047_RoL_RNA_532_1	(1.0, 15.676659565152583)	(2.0, 9.711809800638289)	(3.0, 7.236340896320456)	(4.0, 5.109166052528493)	(5.0, 3.9027146289794254)	(6.0, 3.0415839571098315)	(7.0, 2.4989004354285123)	(8.0, 2.028939106489901)	(9.0, 1.617122245589506)	('>10', 19.62736608633394)	('>50', 7.023720227494394)	('>100', 14.602647967337944)	('>500', 4.509690736518328)	('>1k', 3.4133382940783425)	('>5k', 0.0)	('>10k+', 0.0)
TS047_RoL_RNA_532_2	(1.0, 16.21899231514466)	(2.0, 9.16847196762254)	(3.0, 6.698702149190519)	(4.0, 4.979689249713288)	(5.0, 3.7521460899683583)	(6.0, 3.0203590285347337)	(7.0, 2.3557925372181527)	(8.0, 1.9295202960339257)	(9.0, 1.5950796117525035)	('>10', 19.694781948299113)	('>50', 7.007097764066166)	('>100', 15.161296352506245)	('>500', 4.692932839247704)	('>1k', 3.243059927232523)	('>5k', 0.3333263809909988)	('>10k+', 0.14875154247868574)
TS047_RoL_RNA_559_1	(1.0, 12.521184332350982)	(2.0, 7.203491935011024)	(3.0, 5.181345776051429)	(4.0, 3.9217883481477886)	(5.0, 2.8068224854021113)	(6.0, 2.1517360990774557)	(7.0, 1.7403010175650813)	(8.0, 1.4803420970518526)	(9.0, 1.1821393993860354)	('>10', 17.39045500849528)	('>50', 7.851557383961056)	('>100', 20.543482256856667)	('>500', 7.865405568658547)	('>1k', 7.894319259138724)	('>5k', 0.2656290328458904)	('>10k+', 0.0)
TS047_RoL_RNA_559_2	(1.0, 12.76090745447546)	(2.0, 6.685719921015866)	(3.0, 4.857120741924009)	(4.0, 3.5559650773247813)	(5.0, 2.6782539652832162)	(6.0, 2.0350383630700506)	(7.0, 1.6413095138340934)	(8.0, 1.3704399043277509)	(9.0, 1.149771037134963)	('>10', 16.476082605332202)	('>50', 8.090965336891943)	('>100', 21.974502873591426)	('>500', 8.635819615893034)	('>1k', 7.493144489874877)	('>5k', 0.36408612964305254)	('>10k+', 0.23087297038343513)
TS047_RoL_RNA_561_1	(1.0, 13.990832729761241)	(2.0, 8.359381653921364)	(3.0, 6.050447836078594)	(4.0, 4.631511122295183)	(5.0, 3.471400154204622)	(6.0, 2.68626494575799)	(7.0, 2.1649501345810145)	(8.0, 1.648180246720788)	(9.0, 1.4318910596070726)	('>10', 17.57129003325182)	('>50', 6.917859765108844)	('>100', 16.888008352003673)	('>500', 6.347311490091867)	('>1k', 7.262402421909421)	('>5k', 0.5240923686773715)	('>10k+', 0.05417568602919244)
TS047_RoL_RNA_561_2	(1.0, 14.872157930717519)	(2.0, 7.941590035723302)	(3.0, 5.851874382619977)	(4.0, 4.301426877945252)	(5.0, 3.2431623843805735)	(6.0, 2.5503984108399917)	(7.0, 2.041502485796751)	(8.0, 1.646626970317655)	(9.0, 1.3936878864321858)	('>10', 17.122137016931525)	('>50', 7.133109816646612)	('>100', 17.722778821477476)	('>500', 6.71512551293238)	('>1k', 6.703302483096296)	('>5k', 0.6105514351617061)	('>10k+', 0.15056754898059088)
