Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
TS047_RoL_RNA_506_1	TS047_RoL_RNA_506_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28710206.0	2.8 Gbp	0.0	20-101	46.0	26.201378429577936	99.64623566267689	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_506_2	TS047_RoL_RNA_506_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28710206.0	2.8 Gbp	0.0	20-101	46.0	26.428193514679023	99.58641303374834	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_51_1	TS047_RoL_RNA_51_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24511022.0	2.4 Gbp	0.0	20-101	46.0	28.902155492926084	99.5614267328388	100	pass	pass	warn	pass	fail	fail	pass	warn	fail	pass	pass
TS047_RoL_RNA_51_2	TS047_RoL_RNA_51_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24511022.0	2.4 Gbp	0.0	20-101	46.0	28.679958555212576	99.5095508053479	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_526_1	TS047_RoL_RNA_526_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37156512.0	3.7 Gbp	0.0	20-101	47.0	21.319178642213004	99.7400186002389	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_526_2	TS047_RoL_RNA_526_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37156512.0	3.7 Gbp	0.0	20-101	47.0	21.334982220694958	99.68823128500328	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_528_1	TS047_RoL_RNA_528_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34285690.0	3.4 Gbp	0.0	20-101	46.0	25.88198727888016	99.65233819123955	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_528_2	TS047_RoL_RNA_528_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34285690.0	3.4 Gbp	0.0	20-101	46.0	25.97506833988628	99.59424112508746	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_530_1	TS047_RoL_RNA_530_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25654216.0	2.5 Gbp	0.0	20-101	45.0	28.09249973714611	99.56251947048392	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_530_2	TS047_RoL_RNA_530_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25654216.0	2.5 Gbp	0.0	20-101	46.0	28.08023186547308	99.51473909785433	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_532_1	TS047_RoL_RNA_532_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26283248.0	2.6 Gbp	0.0	20-101	46.0	27.514000591837522	99.71308454723709	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_532_2	TS047_RoL_RNA_532_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26283248.0	2.6 Gbp	0.0	20-101	46.0	27.46311158342303	99.66043854245108	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_559_1	TS047_RoL_RNA_559_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25603055.0	2.5 Gbp	0.0	20-101	47.0	21.41733469013266	99.70017794751446	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_559_2	TS047_RoL_RNA_559_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25603055.0	2.5 Gbp	0.0	20-101	47.0	21.034702868786304	99.64435289069996	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_561_1	TS047_RoL_RNA_561_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30718792.0	3 Gbp	0.0	20-101	46.0	24.275988737073043	99.66982653484551	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_561_2	TS047_RoL_RNA_561_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30718792.0	3 Gbp	0.0	20-101	46.0	24.62557152000325	99.61033780234587	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_562_1	TS047_RoL_RNA_562_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26356885.0	2.6 Gbp	0.0	20-101	46.0	23.733250356744577	99.54844999703114	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_562_2	TS047_RoL_RNA_562_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26356885.0	2.6 Gbp	0.0	20-101	46.0	23.526342382734857	99.48848820716105	100	pass	pass	warn	pass	warn	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_586_1	TS047_RoL_RNA_586_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22579926.0	2.2 Gbp	0.0	20-101	46.0	19.570546421255106	99.3823747252316	100	pass	pass	warn	pass	fail	fail	pass	warn	fail	pass	pass
TS047_RoL_RNA_586_2	TS047_RoL_RNA_586_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22579926.0	2.2 Gbp	0.0	20-101	46.0	19.424911008896114	99.3304699492815	100	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
TS047_RoL_RNA_616_1	TS047_RoL_RNA_616_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21428057.0	2.1 Gbp	0.0	20-101	47.0	20.257418305777644	100.03832753011623	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_616_2	TS047_RoL_RNA_616_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21428057.0	2.1 Gbp	0.0	20-101	47.0	19.952634078694004	100.0033900647175	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_618_1	TS047_RoL_RNA_618_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28305343.0	2.8 Gbp	0.0	20-101	47.0	19.91411989429	100.04219017943008	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_618_2	TS047_RoL_RNA_618_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28305343.0	2.8 Gbp	0.0	20-101	47.0	19.958724423561755	99.99679966782243	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
TS047_RoL_RNA_646_1	TS047_RoL_RNA_646_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22812960.0	2.2 Gbp	0.0	20-101	46.0	27.869707403439953	100.07226874548502	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_646_2	TS047_RoL_RNA_646_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22812960.0	2.2 Gbp	0.0	20-101	46.0	27.851838472831997	100.02085700408891	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_651_1	TS047_RoL_RNA_651_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27391644.0	2.7 Gbp	0.0	20-101	46.0	24.699757705423448	100.07010926397847	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_651_2	TS047_RoL_RNA_651_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27391644.0	2.7 Gbp	0.0	20-101	46.0	24.653346526633975	100.01423412190958	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_652_1	TS047_RoL_RNA_652_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21671118.0	2.1 Gbp	0.0	20-101	46.0	29.751037514027782	100.04046376379843	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_652_2	TS047_RoL_RNA_652_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21671118.0	2.1 Gbp	0.0	20-101	46.0	29.693618547619906	99.98411614020098	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_655_1	TS047_RoL_RNA_655_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27968411.0	2.8 Gbp	0.0	20-101	47.0	22.413069336409354	100.09446791596419	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_655_2	TS047_RoL_RNA_655_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27968411.0	2.8 Gbp	0.0	20-101	47.0	22.767580028960342	100.03812392130536	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_676_1	TS047_RoL_RNA_676_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24733059.0	2.4 Gbp	0.0	20-101	47.0	26.238808171111344	100.05859273209998	100	pass	pass	warn	pass	fail	fail	pass	warn	fail	pass	pass
TS047_RoL_RNA_676_2	TS047_RoL_RNA_676_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24733059.0	2.4 Gbp	0.0	20-101	47.0	26.476378708397636	100.01858457944891	100	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
TS047_RoL_RNA_677_1	TS047_RoL_RNA_677_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23945320.0	2.4 Gbp	0.0	20-101	46.0	28.11042317184847	100.07066984279183	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_677_2	TS047_RoL_RNA_677_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23945320.0	2.3 Gbp	0.0	20-101	46.0	28.518102218221504	100.01443413577267	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_678_1	TS047_RoL_RNA_678_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23934487.0	2.4 Gbp	0.0	20-101	46.0	27.264874050937017	100.094948912003	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_678_2	TS047_RoL_RNA_678_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23934487.0	2.3 Gbp	0.0	20-101	46.0	27.318638503773613	100.0444242443968	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_679_1	TS047_RoL_RNA_679_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26035884.0	2.6 Gbp	0.0	20-101	46.0	26.088083772213917	100.09413331231619	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_679_2	TS047_RoL_RNA_679_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26035884.0	2.6 Gbp	0.0	20-101	46.0	25.99204879799607	100.05060984293831	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_683_1	TS047_RoL_RNA_683_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20177187.0	2 Gbp	0.0	20-101	45.0	27.356471461253808	100.04637839258763	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_683_2	TS047_RoL_RNA_683_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20177187.0	2 Gbp	0.0	20-101	45.0	27.554826185268833	99.9912613933746	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_707_1	TS047_RoL_RNA_707_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26506113.0	2.6 Gbp	0.0	20-101	46.0	29.38221735265317	100.06543745210774	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_707_2	TS047_RoL_RNA_707_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26506113.0	2.6 Gbp	0.0	20-101	46.0	29.21618850331408	100.00592891534116	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_708_1	TS047_RoL_RNA_708_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33705806.0	3.3 Gbp	0.0	20-101	47.0	24.942880129743017	100.05700320591652	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_708_2	TS047_RoL_RNA_708_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33705806.0	3.3 Gbp	0.0	20-101	47.0	25.220514373580684	99.99346204627179	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_710_1	TS047_RoL_RNA_710_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26476796.0	2.6 Gbp	0.0	20-101	46.0	25.381607296306736	100.04588493260287	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_710_2	TS047_RoL_RNA_710_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26476796.0	2.6 Gbp	0.0	20-101	46.0	25.848262805004136	99.99408546260658	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_79_1	TS047_RoL_RNA_79_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24752414.0	2.4 Gbp	0.0	20-101	45.0	23.695702542937973	99.46917739013253	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_79_2	TS047_RoL_RNA_79_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24752414.0	2.4 Gbp	0.0	20-101	45.0	23.527951846327124	99.43245313366204	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_85_1	TS047_RoL_RNA_85_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27136491.0	2.7 Gbp	0.0	20-101	47.0	16.608331767097557	99.60508245152256	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_85_2	TS047_RoL_RNA_85_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27136491.0	2.7 Gbp	0.0	20-101	47.0	16.60415666986367	99.55988471390792	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
