Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
ribonucleoside bisphosphate biosynthetic process	0.0346981609416085	11	1.4596935429058686	-0.9571445614951231	2	9		
ribonucleoside bisphosphate metabolic process	0.0045646883035215325	20	2.340588872605537	-1.1038710321245935	4	16		
ribosomal large subunit biogenesis	0.021622614683256304	16	1.6650917907781546	1.049516119074896	15	1		
ribosome biogenesis	3.465412444286461e-4	51	3.460245069387543	1.1309480849162101	49	2		
secondary alcohol biosynthetic process	1.0449472706356037e-5	13	4.98090562405031	-1.3075727495935137	2	11		
secondary alcohol metabolic process	4.243040431485455e-9	30	8.372322829867283	-1.2978113125813178	4	26		
serine family amino acid catabolic process	0.0021660583191462556	8	2.664329854570143	-1.4686060653560968	0	8		
serine family amino acid metabolic process	0.00913289202384778	11	2.039391676888858	-1.2954495600781888	1	10		
sexual reproduction	2.199853772242712e-5	62	4.657606186459027	1.8408838351873942	56	6		
signal transduction in response to DNA damage	1.0731307344982773e-5	22	4.969347366745511	2.28629492937936	22	0		
sister chromatid segregation	9.742744265881339e-24	50	23.011318696954874	2.6671058348862324	50	0		
small molecule biosynthetic process	3.2361684688665884e-6	71	5.489968877914314	-1.2230183050238719	14	57		
small molecule catabolic process	1.2211251798287985e-4	50	3.9132398134324533	-1.260460422009992	5	45		
sphingolipid catabolic process	0.09992827769487543	8	1.0003115977693635	-1.5715848963158727	0	8		
sphingolipid metabolic process	0.023148264560398837	24	1.6354815627494461	-1.1801590062604477	3	21		
spindle assembly	1.9345577485056482e-7	23	6.713418301619651	2.3825136842278547	23	0		
spindle assembly checkpoint signaling	1.983820987788771e-6	11	5.702497519441458	2.9108125561820755	11	0		
spindle checkpoint signaling	1.983820987788771e-6	11	5.702497519441458	2.9108125561820755	11	0		
spindle elongation	3.754577869635143e-5	8	4.425438884010978	2.9010629203009324	8	0		
spindle midzone assembly	0.006189993176954695	6	2.2083098296895036	2.836796738566573	6	0		
spindle organization	4.840066077695837e-12	40	11.315148709226913	2.558176469394983	40	0		
spliceosomal snRNP assembly	3.465412444286461e-4	12	3.460245069387543	1.4287428024354691	12	0		
steroid biosynthetic process	1.3062123174655428e-7	28	6.883986225197759	-1.4601789913384828	4	24		
steroid catabolic process	0.039448121445908535	5	1.4039736734457198	-1.9890270710689637	0	5		
steroid metabolic process	6.035554000656159e-12	45	11.219282860051248	-1.5564572661442926	4	41		
sterol biosynthetic process	7.62049138250479e-7	17	6.118017023695854	-1.289698021437549	3	14		
sterol homeostasis	0.0542818007140137	9	1.265345753731755	-2.07573214499014	0	9		
sterol metabolic process	2.323107533041381e-10	32	9.633930686917104	-1.294332502948243	4	28		
sterol transport	0.00524288179552859	14	2.280429933651595	-1.369177201641818	1	13		
telomere maintenance	2.9546911890539646e-4	16	3.529487902903914	1.6124207762848353	16	0		
telomere maintenance via telomerase	0.01242664778032428	7	1.9056460110892623	1.6450882012649557	7	0		
telomere maintenance via telomere lengthening	0.017237214372445873	8	1.7635329171901841	1.5747729906624965	8	0		
telomere organization	4.036865969359575e-4	16	3.3939556696468682	1.6124207762848353	16	0		
terpenoid metabolic process	0.010150530879698774	13	1.9935112432587039	-0.9852594313693998	2	11		
thioester biosynthetic process	0.08310711429401246	8	1.080361797318376	-0.7186222665875968	2	6		
thioester metabolic process	0.015650576916106735	16	1.8054696487332726	-0.9156231239696913	4	12		
translesion synthesis	0.0270553436405494	6	1.5677469455515225	2.715181774371953	6	0		
triglyceride biosynthetic process	0.017237214372445873	8	1.7635329171901841	-1.5673562920955086	0	8		
triglyceride metabolic process	0.042197121674479046	11	1.374717171870635	-1.6673153315484468	0	11		
type I interferon production	0.010867861375779303	6	1.963855909830708	1.1339659999902143	4	2		
very long-chain fatty acid metabolic process	0.09992827769487543	8	1.0003115977693635	-0.7130352549434444	2	6		
vitamin biosynthetic process	0.0021660583191462556	8	2.664329854570143	-1.888849029908014	0	8		
vitamin metabolic process	0.0026029398821668863	15	2.5845358622959465	-1.4164495655116887	2	13		
xenobiotic metabolic process	7.087731167984005e-8	22	7.149492763253517	-2.0138807199267665	0	22		
